0.0001 0.00000419 0.0050 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00002932 0.0150 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00007959 0.0250 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00015499 0.0350 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00025552 0.0450 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00038118 0.0550 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00053198 0.0650 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00070791 0.0750 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00090897 0.0850 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00113516 0.0950 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00138649 0.1050 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00166295 0.1150 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00196454 0.1250 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00229127 0.1350 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00264313 0.1450 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00302012 0.1550 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00342224 0.1650 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00384950 0.1750 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00430189 0.1850 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00477941 0.1950 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00528206 0.2050 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00580985 0.2150 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00636277 0.2250 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00694083 0.2350 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00754401 0.2450 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00817233 0.2550 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00882578 0.2650 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.00950436 0.2750 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01020808 0.2850 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01093693 0.2950 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01169091 0.3050 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01247003 0.3150 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01327428 0.3250 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01410366 0.3350 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01495817 0.3450 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01583782 0.3550 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01674259 0.3650 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01767251 0.3750 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01862755 0.3850 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
0.00010000 0.01960773 0.3950 & 0.00000000 0.00000000 0.00000000 0.00000000 | 
